player,team,grade_old,grade_new,delta,rank_old,rank_new,pool,xp_per_90,xp_pass,residual,ip_p90,rank_gain
Ramón Terrats,Espanyol,5.62,7.48,1.86,292,72,418,2.7,0.404,2.38,0.86,220
Rani Khedira,1. FC Union Berlin,5.55,7.39,1.84,295,93,418,4.53,0.356,1.81,1.66,202
Eli Junior Kroupi,Bournemouth,5.28,6.97,1.68,329,126,418,3.65,0.358,1.62,1.09,203
Mehdi Léris,Pisa,4.6,6.27,1.67,2,1,2,4.25,0.352,0.88,1.62,1
Paul Nebel,1. FSV Mainz 05,5.35,6.88,1.53,319,140,418,6.63,0.33,1.21,1.9,179
Tim Skarke,1. FC Union Berlin,5.2,6.73,1.53,351,143,418,2.05,0.395,2.06,0.68,208
Tino Anjorin,Torino,5.3,6.8,1.49,338,133,418,2.51,0.376,2.72,0.87,205
Josip Brekalo,Real Oviedo,6.22,7.6,1.38,213,57,418,4.39,0.404,2.38,1.29,156
Connor Metcalfe,FC St. Pauli,5.33,6.62,1.29,332,160,418,2.48,0.373,1.71,0.82,172
Merlin Röhl,Everton,4.98,6.25,1.27,378,209,418,3.09,0.333,1.65,0.94,169
Lovro Majer,VfL Wolfsburg,5.68,6.93,1.25,280,134,418,5.45,0.352,1.04,1.66,146
Thiago Fernández,Real Oviedo,5.84,7.07,1.23,263,111,418,4.92,0.378,1.2,1.31,152
Suat Serdar,Hellas Verona,6.99,8.21,1.22,122,28,418,5.82,0.41,2.11,2.6,94
Mauro Arambarri,Getafe,5.93,7.1,1.17,251,117,418,6.06,0.374,0.46,1.41,134
Marshall Munetsi,Wolverhampton,5.67,6.84,1.16,287,128,418,3.31,0.402,1.63,0.85,159
Jean Daniel Akpa-Akpro,Hellas Verona,5.06,6.22,1.15,358,216,418,4.45,0.342,0.74,1.5,142
Morgan Rogers,Aston Villa,7.54,8.69,1.15,80,13,418,7.91,0.39,2.46,3.31,67
Jon Ander Olasagasti,Levante UD,6.48,7.59,1.11,186,76,418,5.92,0.381,1.03,1.75,110
Oihan Sancet,Athletic Club,6.29,7.35,1.07,209,96,418,5.87,0.374,0.9,1.68,113
Jack Hinshelwood,Brighton & Hove Albion,5.45,6.5,1.05,307,184,418,6.69,0.339,0.53,1.69,123
Fabio Miretti,Juventus,5.94,6.97,1.04,250,125,418,5.15,0.367,0.97,1.17,125
Hannibal Mejbri,Burnley,6.9,7.94,1.04,137,47,418,5.88,0.411,0.95,1.78,90
Justin Kluivert,Bournemouth,6.59,7.62,1.03,168,64,418,5.17,0.402,1.38,1.6,104
Jens Odgaard,Bologna,6.15,7.16,1.01,223,104,418,3.7,0.398,1.12,1.23,119
Giovanni Fabbian,Bologna,4.84,5.83,0.99,390,264,418,2.96,0.342,0.6,0.78,126
Claudio Echeverri,Girona FC,5.99,6.96,0.98,244,122,418,4.05,0.383,1.03,1.0,122
Freddie Potts,West Ham United,5.61,6.55,0.94,288,178,418,7.15,0.362,-0.11,1.45,110
Adrian Beck,1. FC Heidenheim,5.2,6.13,0.93,339,227,418,4.6,0.343,0.49,1.17,112
Mikkel Damsgaard,Brentford,7.9,8.83,0.93,50,7,418,8.74,0.408,2.61,3.61,43
Alex Král,1. FC Union Berlin,5.17,6.09,0.92,355,230,418,2.05,0.369,1.11,0.65,125
Thiago Almada,Atlético Madrid,6.62,7.48,0.86,170,85,418,7.97,0.362,0.81,2.26,85
Luca Lipani,Sassuolo,5.12,5.98,0.85,345,245,418,5.54,0.332,0.34,1.21,100
André Almeida,Valencia,6.99,7.83,0.84,126,56,418,8.73,0.384,0.62,2.05,70
Nahuel Estévez,Parma,5.94,6.77,0.83,249,152,418,5.15,0.383,0.08,1.61,97
Unai Gómez,Athletic Club,4.84,5.67,0.83,398,287,418,1.99,0.344,0.73,0.44,111
Carney Chukwuemeka,Borussia Dortmund,6.07,6.89,0.82,234,135,418,4.39,0.383,0.61,1.64,99
Yuito Suzuki,SC Freiburg,5.9,6.72,0.82,254,155,418,4.77,0.382,0.19,1.44,99
Joseph Liteta,Cagliari,5.5,6.31,0.81,321,193,418,8.19,0.298,1.18,1.25,128
Lassana Coulibaly,Lecce,5.69,6.49,0.8,279,185,418,6.71,0.352,0.15,1.33,94
Thomas Partey,Villarreal,5.84,6.64,0.79,261,168,418,6.76,0.346,0.46,1.88,93
Jakub Kamiński,1. FC Köln,6.99,7.76,0.77,127,62,418,8.56,0.363,0.95,2.88,65
Jae-sung Lee,1. FSV Mainz 05,5.64,6.41,0.77,284,194,418,6.06,0.334,0.7,1.93,90
Jamie Leweling,VfB Stuttgart,5.57,6.32,0.75,293,205,418,6.64,0.347,0.08,1.66,88
Bilal El Khannouss,VfB Stuttgart,7.7,8.45,0.75,67,23,418,11.58,0.388,0.8,3.4,44
Mohamed Kaba,Lecce,5.82,6.56,0.75,267,167,418,3.8,0.404,0.22,0.73,100
Jakub Piotrowski,Udinese,5.29,6.03,0.74,326,239,418,4.83,0.356,-0.05,1.36,87
Edu Expósito,Espanyol,8.0,8.71,0.72,42,12,418,9.17,0.427,1.21,3.22,30
Oumar Ngom,Lecce,5.58,6.31,0.72,296,203,418,5.11,0.363,0.19,1.67,93
Carlos Alcaraz,Everton,5.48,6.19,0.71,308,218,418,4.85,0.358,0.19,1.17,90
Giovanni Reyna,Borussia M'gladbach,6.02,6.7,0.68,240,154,418,4.71,0.365,0.81,1.79,86
Jan Schöppner,1. FC Heidenheim,5.23,5.91,0.68,333,253,418,5.09,0.333,0.34,1.65,80
Santi Comesaña,Villarreal,6.7,7.38,0.68,161,94,418,10.14,0.344,0.57,2.74,67
Isco,Real Betis,5.97,6.64,0.67,246,153,418,6.48,0.348,0.9,1.38,93
Nelson Deossa,Real Betis,5.5,6.16,0.67,305,222,418,5.08,0.363,-0.08,1.26,83
Ísak Bergmann Jóhannesson,1. FC Köln,7.2,7.87,0.67,109,53,418,9.27,0.385,0.46,2.48,56
Alessio Castro-Montes,1. FC Köln,6.48,7.14,0.66,182,106,418,6.38,0.371,0.92,1.93,76
Alejandro Rego Mora,Athletic Club,5.6,6.25,0.65,289,213,418,5.37,0.369,-0.25,1.52,76
Will Hughes,Crystal Palace,6.91,7.55,0.65,136,79,418,6.86,0.39,0.46,2.26,57
Youssouf Fofana,AC Milan,6.16,6.8,0.64,224,149,418,7.02,0.353,0.35,1.91,75
Pape Gueye,Villarreal,7.97,8.62,0.64,44,16,418,11.29,0.391,1.29,4.17,28
András Schäfer,1. FC Union Berlin,4.65,5.28,0.63,401,327,418,4.23,0.311,0.31,1.21,74
Luka Ilić,Real Oviedo,4.81,5.44,0.62,397,316,418,3.02,0.307,0.77,0.68,81
Nicolás Domínguez,Nottingham Forest,6.06,6.67,0.61,236,164,418,5.77,0.351,0.62,2.15,72
Eljif Elmas,SSC Napoli,4.91,5.53,0.61,370,298,418,6.53,0.324,-0.23,1.27,72
Omri Gandelman,Lecce,5.09,5.69,0.6,363,284,418,2.85,0.347,0.23,0.84,79
Joshua King,Fulham,4.74,5.34,0.6,399,325,418,2.84,0.338,0.06,0.66,74
Andy Diouf,Inter,4.89,5.48,0.6,386,309,418,3.63,0.325,0.17,1.17,77
Ezechiel Banzuzi,RB Leipzig,5.18,5.78,0.6,346,270,418,3.65,0.362,-0.25,0.62,76
Jamal Musiala,FC Bayern München,5.82,6.42,0.59,265,190,418,5.58,0.344,0.68,1.93,75
Rodrigo Mendoza,Elche,6.11,6.68,0.57,230,163,418,8.01,0.358,-0.11,1.83,67
Diego Gómez,Brighton & Hove Albion,4.7,5.25,0.56,395,330,418,5.63,0.313,-0.02,1.0,65
Assan Ouédraogo,RB Leipzig,5.72,6.28,0.56,278,207,418,4.7,0.369,0.05,1.26,71
Florian Wirtz,Liverpool FC,8.04,8.59,0.55,40,17,418,13.46,0.376,1.12,3.76,23
Luis Milla,Getafe,7.57,8.12,0.55,78,37,418,11.15,0.397,0.04,2.57,41
Mikel Vesga,Athletic Club,5.26,5.8,0.54,337,268,418,3.53,0.378,-0.59,0.83,69
Jens Stage,SV Werder Bremen,7.1,7.63,0.53,117,73,418,10.09,0.354,0.75,3.24,44
Florentino Luís,Burnley,5.34,5.87,0.53,320,258,418,8.95,0.315,-0.08,2.35,62
Jesper Lindstrøm,VfL Wolfsburg,5.04,5.55,0.51,374,304,418,2.45,0.347,0.01,0.8,70
Tim Iroegbunam,Everton,5.05,5.53,0.49,354,297,418,5.09,0.345,-0.5,1.11,57
Marcus Tavernier,Bournemouth,7.3,7.78,0.48,100,60,418,9.94,0.369,0.52,2.94,40
Raphaël Guerreiro,FC Bayern München,5.5,5.97,0.47,301,246,418,8.48,0.326,-0.18,1.72,55
Joe Willock,Newcastle United,5.61,6.08,0.47,291,233,418,4.57,0.355,0.11,1.14,58
Iñigo Ruiz de Galarreta,Athletic Club,8.19,8.64,0.45,34,15,418,12.28,0.411,0.59,3.53,19
Maxence Caqueret,Como,7.34,7.79,0.45,97,59,418,9.7,0.37,0.6,3.27,38
Sergi Roberto,Como,4.55,5.0,0.44,412,360,418,5.96,0.299,-0.33,1.05,52
Mathias Jensen,Brentford,7.81,8.23,0.43,58,32,418,10.07,0.401,0.3,2.94,26
Carlos Soler,Real Sociedad,7.42,7.85,0.43,90,54,418,11.09,0.366,0.43,3.06,36
Carlos Baleba,Brighton & Hove Albion,4.6,5.02,0.42,406,357,418,6.2,0.292,0.06,1.03,49
Adam Wharton,Crystal Palace,8.45,8.86,0.41,23,6,418,12.06,0.419,1.48,4.38,17
Sandi Lovrić,Hellas Verona,6.1,6.49,0.39,229,179,418,5.45,0.37,0.24,1.14,50
Cole Palmer,Chelsea,6.98,7.36,0.39,128,95,418,9.29,0.369,0.15,2.5,33
Elvis Rexhbeçaj,FC Augsburg,5.32,5.71,0.39,325,278,418,4.23,0.346,-0.12,1.6,47
Ross Barkley,Aston Villa,6.19,6.58,0.39,220,173,418,5.96,0.368,0.08,1.67,47
Lucas Torró,Osasuna,5.67,6.06,0.38,281,236,418,7.68,0.345,-0.37,1.94,45
Ryan Yates,Nottingham Forest,4.76,5.12,0.37,404,356,418,3.06,0.317,-0.18,1.1,48
Gianluca Gaetano,Cagliari,6.5,6.86,0.36,184,142,418,8.58,0.34,0.46,2.64,42
Mario Martín,Getafe,4.58,4.94,0.36,409,367,418,3.76,0.322,-0.42,0.94,42
Niklas Dorsch,1. FC Heidenheim,6.72,7.08,0.36,158,119,418,9.38,0.354,0.18,2.75,39
Jackson Irvine,FC St. Pauli,6.66,7.02,0.36,165,124,418,7.34,0.359,0.5,2.67,41
Federico Redondo,Elche,5.02,5.37,0.35,376,328,418,3.82,0.321,-0.43,0.9,48
Lennon Miller,Udinese,5.41,5.75,0.34,315,273,418,4.15,0.346,-0.02,1.46,42
Fer López,Celta Vigo,6.82,7.16,0.34,146,112,418,8.36,0.364,0.26,2.28,34
Ander Guevara,Deportivo Alavés,5.27,5.61,0.34,328,288,418,5.09,0.344,-0.34,1.32,40
Andrej Kramarić,TSG Hoffenheim,5.86,6.19,0.33,259,220,418,8.03,0.33,0.12,1.91,39
João Palhinha,Tottenham Hotspur,5.16,5.48,0.33,341,303,418,8.06,0.313,-0.24,1.94,38
Christian Eriksen,VfL Wolfsburg,7.56,7.89,0.33,79,51,418,10.9,0.374,0.38,3.03,28
Mattias Svanberg,VfL Wolfsburg,5.23,5.55,0.32,342,301,418,2.81,0.365,-0.47,0.92,41
Mikel Jauregizar,Athletic Club,7.96,8.28,0.32,45,30,418,11.54,0.396,0.12,3.67,15
Sean Longstaff,Leeds United,5.42,5.72,0.31,311,275,418,5.83,0.343,-0.39,1.36,36
Nicolas Höfler,SC Freiburg,4.79,5.11,0.31,408,365,418,2.57,0.305,-0.57,0.58,43
Lucas Bergvall,Tottenham Hotspur,4.9,5.21,0.31,381,342,418,3.4,0.326,-0.18,1.09,39
Emirhan İlkhan,Torino,5.82,6.12,0.31,264,228,418,7.36,0.36,-0.67,1.53,36
Can Uzun,Eintracht Frankfurt,7.27,7.58,0.31,103,77,418,8.54,0.388,0.23,2.81,26
Ylber Ramadani,Lecce,7.79,8.09,0.3,59,38,418,11.8,0.394,-0.05,3.16,21
Mateo Kovačić,Manchester City,6.9,7.2,0.3,114,82,418,8.83,0.398,0.7,2.33,32
Mahmoud Dahoud,Eintracht Frankfurt,5.46,5.74,0.29,309,274,418,6.79,0.347,-0.79,1.4,35
Casemiro,Manchester United,8.28,8.57,0.29,30,18,418,14.25,0.376,0.69,4.97,12
Fran Beltrán,Girona FC,6.76,7.05,0.29,153,121,418,12.41,0.35,-0.37,2.48,32
Luka Sučić,Real Sociedad,5.84,6.11,0.28,262,229,418,5.79,0.36,-0.32,1.36,33
Henrikh Mkhitaryan,Inter,7.87,8.14,0.27,53,36,418,11.31,0.388,0.33,3.7,17
Grady Diangana,Elche,4.7,4.96,0.26,407,374,418,3.8,0.316,-0.7,0.9,33
Aster Vranckx,Sassuolo,4.68,4.93,0.26,413,380,418,3.59,0.28,0.02,0.88,33
Morten Thorsby,Cremonese,5.53,5.78,0.25,300,269,418,4.6,0.359,-0.47,1.58,31
Ebenezer Akinsanmiro,Pisa,6.33,6.57,0.24,204,176,418,6.43,0.357,0.21,2.04,28
Moi Gómez,Osasuna,7.71,7.95,0.24,66,46,418,11.68,0.398,-0.31,2.65,20
Jobe Bellingham,Borussia Dortmund,7.23,7.47,0.24,106,86,418,10.56,0.367,0.02,2.81,20
Ilaix Moriba,Celta Vigo,6.37,6.6,0.23,199,172,418,8.5,0.339,0.21,2.33,27
Aljoscha Kemlein,1. FC Union Berlin,6.61,6.83,0.22,171,145,418,8.39,0.35,0.17,2.27,26
Cesare Casadei,Torino,4.94,5.17,0.22,366,340,418,5.73,0.337,-0.82,1.27,26
Ivan Ilić,Torino,5.57,5.79,0.22,302,271,418,5.91,0.305,0.34,1.62,31
Oier Zarraga,Udinese,4.98,5.2,0.22,379,350,418,2.46,0.364,-1.22,0.67,29
Batista Mendy,Sevilla,5.02,5.23,0.21,357,332,418,6.82,0.316,-0.4,1.62,25
Lesley Ugochukwu,Burnley,5.42,5.64,0.21,310,285,418,6.46,0.338,-0.41,1.79,25
Kristijan Jakić,FC Augsburg,6.41,6.62,0.21,194,170,418,7.97,0.361,-0.25,2.42,24
Eberechi Eze,Arsenal,6.69,6.9,0.21,162,137,418,6.31,0.381,-0.03,1.88,25
Ismael Koné,Sassuolo,6.59,6.81,0.21,173,148,418,10.4,0.351,-0.32,2.29,25
Ruben Loftus-Cheek,AC Milan,5.12,5.33,0.21,347,322,418,4.36,0.343,-0.52,0.96,25
