label,flag_rate_pct,short_rate_pct,long_rate_pct,jaccard_vs_threat_m4,player_rate_spearman,mean_xp_flagged,mean_xp_other,mean_res_flagged,mean_prog_flagged,cohens_d_xp,cohens_d_res,cohens_d_prog
global_z · Equal (⅓ each) · P90 global,10.0,7.953,26.692,0.6187,0.8202,0.7569,0.305,0.22,0.8176,2.837,2.973,1.812
global_z · Equal (⅓ each) · P90 per-band,10.0,10.0,10.001,0.6883,0.9,0.715,0.3097,0.2177,0.8095,2.375,2.893,1.77
global_z · Equal (⅓ each) · P92 global,7.5,5.963,20.035,0.63,0.8089,0.7783,0.3155,0.2422,0.8511,2.906,3.211,1.854
global_z · Equal (⅓ each) · P92 per-band,7.5,7.5,7.502,0.7716,0.8868,0.7456,0.3181,0.2405,0.8368,2.573,3.15,1.801
global_z · Equal (⅓ each) · P95 global,5.0,3.923,13.782,0.495,0.7405,0.7971,0.3267,0.2718,0.8746,2.906,3.539,1.86
global_z · Equal (⅓ each) · P95 per-band,5.0,5.0,5.001,0.6627,0.83,0.771,0.328,0.27,0.8663,2.686,3.482,1.833
global_z · Equal (⅓ each) · P97 global,3.0,2.39,7.974,0.3551,0.6224,0.8077,0.336,0.3054,0.8928,2.848,3.91,1.86
global_z · Equal (⅓ each) · P97 per-band,3.0,3.0,3.0,0.4071,0.6627,0.7896,0.3366,0.3032,0.8883,2.721,3.848,1.847
global_z · Equal (⅓ each) · P90 score + progress≥P60,9.663,7.657,26.024,0.6021,0.8078,0.7605,0.3063,0.2194,0.8393,2.844,2.912,1.888
global_z · xP-heavy (50/35/15) · P90 global,10.0,7.661,29.078,0.6187,0.8233,0.7666,0.3039,0.2177,0.7961,3.023,2.901,1.738
global_z · xP-heavy (50/35/15) · P90 per-band,10.0,10.0,10.001,0.7036,0.9184,0.7221,0.3089,0.2171,0.7775,2.5,2.881,1.655
global_z · xP-heavy (50/35/15) · P92 global,7.5,5.757,21.712,0.6101,0.8008,0.7859,0.3149,0.2404,0.8332,3.024,3.153,1.795
global_z · xP-heavy (50/35/15) · P92 per-band,7.5,7.5,7.502,0.7951,0.9026,0.7521,0.3176,0.2394,0.8162,2.692,3.125,1.73
global_z · xP-heavy (50/35/15) · P95 global,5.0,3.801,14.782,0.4759,0.7255,0.8027,0.3264,0.2704,0.8628,2.972,3.49,1.823
global_z · xP-heavy (50/35/15) · P95 per-band,5.0,5.0,5.001,0.6694,0.836,0.7762,0.3278,0.2692,0.85,2.76,3.457,1.781
global_z · xP-heavy (50/35/15) · P97 global,3.0,2.284,8.838,0.3396,0.6384,0.8162,0.3358,0.3027,0.881,2.931,3.828,1.826
global_z · xP-heavy (50/35/15) · P97 per-band,3.0,3.0,3.0,0.4077,0.6733,0.7941,0.3365,0.3022,0.8765,2.767,3.815,1.812
global_z · xP-heavy (50/35/15) · P90 score + progress≥P60,9.511,7.247,27.968,0.5994,0.7967,0.7727,0.3058,0.2174,0.8283,3.051,2.827,1.848
global_z · Residual-heavy (30/50/20) · P90 global,10.0,8.192,24.742,0.6533,0.8637,0.7412,0.3068,0.2262,0.7858,2.599,3.201,1.69
